,Job Profile,Company,ExperienceRequired,AvgSalary,MinSalary,MaxSalary
1237,Delivery Executive,bosch-global-software-technologies,1-10,"3,63,872",2.4,5.4
1238,Sales Officer,bosch-global-software-technologies,0-6,"3,52,546",1.4,5.0
1239,Business Development Officer,bosch-global-software-technologies,0-6,"2,33,410",,
1240,Credit Officer,ust,0-7,"2,62,888",,
1241,Branch Manager,ust,0-6,"2,83,411",1.1,4.4
1242,Customer Service Officer,ust,0-8,"2,77,298",1.2,4.4
1243,Deputy Manager,ust,5-15,"7,35,872",2.1,17.0
1244,Brach Operation Manager,ust,0-7,"2,63,855",1.0,5.0
1245,Assistant Branch Manager,ust,4-13,"4,97,961",1.8,7.3
1246,Relationship Manager,ust,4-12,"5,98,159",2.5,8.5
1247,Branch Head,ust,3-10,"3,49,913",1.7,5.0
1248,Officer,ust,0-7,"2,87,198",1.0,8.5
1249,Senior Chemist,ust,8-18,"8,31,819",2.8,15.0
1250,Senior Associate,wipro-bps,1-11,"5,53,220",2.5,8.4
1251,Deputy Manager,wipro-bps,2-7,"4,01,406",2.1,6.2
1252,Team Lead,wipro-bps,1-8,"5,18,192",3.0,7.2
1253,Senior Team Leader,wipro-bps,8-16,"13,27,819",7.0,19.0
1254,Senior Engineer,wipro-bps,7-13,"10,68,155",6.4,14.6
1255,Chemist,wipro-bps,8-16,"13,90,188",8.0,18.0
1256,Apprentice,wipro-bps,4-9,"5,92,691",3.8,7.8
1257,Trainee,wipro-bps,1-6,"3,10,936",1.5,4.9
1258,Assistant Engineer,wipro-bps,0-1,"1,57,536",,
1259,Production Engineer,wipro-bps,0-2,"2,05,941",1.0,3.2
1260,Senior Engineer,iqvia,1-7,"2,81,820",,
1261,Quality Engineer,iqvia,1-7,"3,44,018",,
1262,Section Manager,iqvia,4-10,"5,16,996",2.4,8.5
1263,Design Engineer,iqvia,0-6,"2,80,507",1.2,6.0
1264,Quality Inspector,iqvia,9-15,"11,22,108",6.5,16.0
1265,Senior Production Engineer,iqvia,0-6,"3,36,857",1.4,5.8
1266,Deputy Manager,iqvia,0-5,"1,76,133",,
1267,Junior Engineer,iqvia,4-9,"5,28,026",3.4,7.2
1268,Senior Engineer,iqvia,10-17,"13,53,428",8.2,19.3
1269,Project Engineer,iqvia,0-6,"2,23,117",1.0,4.6
1270,Safety Officer,coforge,5-14,"8,74,346",4.0,13.0
1271,Civil Engineer,coforge,1-11,"6,31,252",3.0,9.0
1272,Project Manager,coforge,2-11,"4,92,610",2.0,9.6
1273,Site Engineer,coforge,2-10,"5,56,051",1.3,9.6
1274,Safety Engineer,coforge,11-20,"19,81,607",7.5,40.5
1275,Commercial Officer,coforge,1-8,"4,03,025",1.8,8.2
1276,Store Officer,coforge,0-7,"4,82,129",2.7,9.0
1277,Assistant Engineer,coforge,7-15,"6,43,757",3.5,8.9
1278,Junior Engineer,coforge,4-16,"5,60,110",3.0,8.5
1279,Assistant Engineer,coforge,2-6,"4,07,634",2.4,6.1
1280,Junior Engineer Civil,amdocs,0-8,"3,51,453",1.0,6.2
1281,Senior Engineer,amdocs,3-11,"5,23,728",2.6,7.6
1282,Assistant Engineer - Civil,amdocs,2-8,"3,75,776",1.5,6.1
1283,Civil Site Engineer,amdocs,7-15,"7,12,084",4.3,10.1
1284,Store Officer,amdocs,4-11,"5,40,755",3.2,7.5
1285,Deputy Project Manager,amdocs,1-8,"3,75,737",1.4,7.5
1286,Civil Engineer,amdocs,7-15,"4,49,590",2.6,6.0
1287,Team Lead,amdocs,10-21,"10,09,614",6.2,15.0
1288,Delivery Boy,amdocs,1-8,"3,92,957",1.7,7.4
1289,Data Entry Operator,amdocs,0-4,"2,40,637",1.1,3.5
1290,Team Lead Operations,fullerton-india,0-9,"2,87,227",,
1291,Operations Executive,fullerton-india,0-6,"1,92,372",,
1292,HUB Incharge,fullerton-india,0-5,"2,08,467",,
1293,Supervisor,fullerton-india,1-7,"3,56,942",1.1,7.8
1294,Delivery Executive,fullerton-india,1-8,"3,30,159",1.0,5.5
1295,Field Executive,fullerton-india,1-12,"5,20,924",2.0,8.6
1296,Senior Assistant,fullerton-india,0-6,"2,49,523",1.1,4.5
1297,Business Development Manager,fullerton-india,0-6,"2,15,466",,
1298,Senior Business Development Executive,fullerton-india,1-7,"2,16,922",,
1299,Senior Associate,fullerton-india,0-5,"1,96,859",,
1300,Agency Manager,schneider-electric,0-12,"4,36,080",1.6,7.7
1301,Senior Business Development Manager,schneider-electric,2-10,"3,98,834",2.3,5.5
1302,Business Development Executive,schneider-electric,0-12,"3,90,046",1.9,5.8
1303,Area Manager,schneider-electric,0-15,"3,70,511",2.5,5.0
1304,Sr. BDE,schneider-electric,4-14,"5,71,221",2.9,8.9
1305,Unit Manager,schneider-electric,0-6,"2,95,889",2.0,4.3
1306,Insurance Adviser,schneider-electric,7-18,"8,73,163",4.6,13.6
1307,Store Manager,schneider-electric,0-9,"3,93,203",2.8,5.0
1308,Assistant Store Manager,schneider-electric,1-10,"2,94,699",2.0,4.5
1309,Department Manager,schneider-electric,0-6,"2,49,093",,
1310,Retail Store Manager,icici-lombard-general-insurance-company,2-16,"5,55,237",2.0,10.6
1311,Sales Executive,icici-lombard-general-insurance-company,0-9,"4,12,107",1.6,7.4
1312,Fashion Assistant,icici-lombard-general-insurance-company,0-10,"4,04,291",2.0,5.5
1313,Customer Care Associate,icici-lombard-general-insurance-company,6-15,"6,20,887",2.0,10.2
1314,Deputy Manager,icici-lombard-general-insurance-company,1-11,"4,29,237",,
1315,Head Cashier,icici-lombard-general-insurance-company,0-6,"1,56,743",1.0,3.2
1316,Area Business Manager,icici-lombard-general-insurance-company,0-7,"1,91,931",,
1317,Customer Service Executive,icici-lombard-general-insurance-company,5-15,"9,93,904",4.9,14.5
1318,Branch Manager,icici-lombard-general-insurance-company,2-8,"2,90,430",1.1,4.5
1319,Branch Incharge,icici-lombard-general-insurance-company,3-15,"13,08,585",4.8,22.0
1320,Assistant Branch Manager,nagarro,0-10,"2,13,115",,
1321,Senior Branch Manager,nagarro,1-17,"4,07,171",1.2,6.5
1322,Area Manager,nagarro,0-8,"2,44,552",,
1323,Credit Officer,nagarro,3-8,"2,70,579",1.2,4.0
1324,Joint Custodian,nagarro,8-18,"4,87,978",2.8,6.0
1325,Sales Executive,nagarro,10-18,"7,32,341",2.9,9.5
1326,Internal Auditor,nagarro,0-6,"2,78,826",1.3,4.3
1327,Claims Associate,nagarro,0-4,"2,05,406",1.0,3.2
1328,Senior Software Engineer,nagarro,1-6,"2,39,791",1.1,3.5
1329,Software Engineer,nagarro,1-7,"2,52,243",1.5,3.8
1330,Senior Claims Associate,samsung,0-6,"3,06,210",1.6,4.6
1331,Medical Coder,samsung,2-12,"19,23,040",5.7,31.0
1332,Data Analyst,samsung,0-7,"11,70,460",3.0,22.9
1333,Senior Associate,samsung,1-9,"4,12,272",2.1,6.3
1334,Associate Software Engineer,samsung,0-5,"3,92,487",,
1335,Pharmacy Benefit Analyst,samsung,2-10,"15,90,701",3.5,25.3
1336,Clinical Investigator,samsung,2-8,"4,18,015",2.2,5.5
1337,Trainee,samsung,0-3,"8,14,674",3.6,17.0
1338,Deputy Manager,samsung,0-6,"3,12,536",1.8,4.4
1339,Store Executive,samsung,1-5,"4,08,133",2.0,5.8
1340,Sales Executive,cbre,0-5,"2,25,067",,
1341,Senior Engineer,cbre,8-17,"14,35,924",8.5,20.2
1342,Sales Manager,cbre,1-8,"2,58,083",,
1343,Area Service Manager,cbre,0-6,"2,14,651",,
1344,Area Sales Manager,cbre,4-14,"7,29,595",4.1,10.2
1345,Service Advisor,cbre,1-10,"3,19,939",,
1346,Production Engineer,cbre,6-16,"12,82,641",5.0,19.0
1347,Network Engineer,cbre,6-15,"12,94,589",5.3,19.8
1348,Associate Engineer,cbre,0-6,"1,83,716",,
1349,Customer Service Executive,cbre,0-5,"2,44,317",1.0,7.0
1350,NOC Engineer,globallogic,0-6,"3,63,581",,
1351,Associate Network Engineer,globallogic,0-6,"2,87,537",1.3,5.5
1352,Senior Engineer,globallogic,0-8,"4,41,053",2.2,6.2
1353,Senior Customer Service Executive,globallogic,0-5,"3,00,921",1.0,5.2
1354,Network Associate,globallogic,0-4,"3,07,376",1.5,5.5
1355,Junior Customer Service Executive,globallogic,2-8,"7,74,744",4.0,13.0
1356,Senior Technical Associate,globallogic,4-9,"6,34,424",4.3,8.5
1357,Sales Executive,globallogic,0-3,"2,30,123",1.5,3.6
1358,Senior Engineer,globallogic,0-4,"3,46,383",1.7,4.5
1359,Deputy Manager,globallogic,3-8,"9,21,026",5.0,12.5
1360,Area Sales Manager,virtusa-consulting-services,0-11,"2,77,357",,
1361,Team Lead,virtusa-consulting-services,1-8,"7,17,817",3.0,11.0
1362,Senior Sales Executive,virtusa-consulting-services,7-15,"14,95,421",8.6,22.4
1363,Sales Officer,virtusa-consulting-services,3-14,"11,78,231",5.1,21.0
1364,AC Technician,virtusa-consulting-services,4-11,"3,73,226",2.0,6.2
1365,Area Manager,virtusa-consulting-services,2-10,"3,18,389",1.8,4.8
1366,Store Sales Executive,virtusa-consulting-services,4-12,"3,66,450",2.4,6.0
1367,Technical Trainee,virtusa-consulting-services,1-6,"2,37,157",,
1368,Senior Engineer,virtusa-consulting-services,6-16,"12,68,985",6.2,21.0
1369,Lead Engineer,virtusa-consulting-services,2-10,"2,78,790",1.2,4.1
1370,Assistant Technician,jbm-group,0-4,"2,04,797",,
1371,Senior Software Engineer,jbm-group,2-10,"13,47,427",6.0,18.6
1372,Senior Design Engineer,jbm-group,5-16,"20,38,528",12.0,26.8
1373,Production Engineer,jbm-group,2-6,"2,91,563",2.0,4.1
1374,Section Manager,jbm-group,1-7,"14,94,287",8.3,20.0
1375,Lead Software Engineer,jbm-group,3-12,"13,59,425",4.5,17.0
1376,Technician,jbm-group,1-5,"2,49,036",1.2,3.5
1377,Sales Manager,jbm-group,4-12,"11,98,114",7.4,15.0
1378,Coding Instructor,jbm-group,4-10,"20,65,875",13.9,27.5
1379,Relationship Manager,jbm-group,2-10,"3,88,259",1.5,7.0
1380,Team Lead,dell,0-12,"7,01,955",2.5,14.0
1381,Concierge Executive,dell,1-10,"5,05,509",2.0,8.5
1382,Technical Support Engineer,dell,4-10,"6,81,624",3.5,8.5
1383,Technical Support Executive,dell,3-11,"10,45,581",5.0,16.0
1384,Operations Manager,dell,0-8,"5,32,235",3.5,7.5
1385,Sales Team Leader,dell,0-6,"4,75,291",2.3,8.0
1386,Senior Sales Manager,dell,0-5,"3,91,021",2.0,6.0
1387,Officer,dell,3-11,"8,38,228",5.1,14.0
1388,Senior Officer,dell,2-13,"12,17,226",8.6,15.0
1389,Research Associate,dell,3-11,"9,59,682",6.0,13.3
1390,Business Executive,ecom-express,0-7,"3,50,840",1.5,5.5
1391,Area Business Manager,ecom-express,2-10,"4,91,943",2.1,7.5
1392,Production Officer,ecom-express,1-6,"4,17,540",2.0,6.5
1393,Technician,ecom-express,0-8,"3,91,700",1.8,6.0
1394,QC Officer,ecom-express,5-15,"7,36,176",3.3,13.0
1395,Medical Representative,ecom-express,1-6,"3,40,685",1.8,5.0
1396,Regional Business Manager,ecom-express,2-9,"3,53,188",1.0,6.0
1397,Customer Executive,ecom-express,2-5,"3,29,637",2.1,4.4
1398,Senior Customer Executive,ecom-express,0-6,"3,53,925",2.0,5.4
1399,Area Sales Manager,ecom-express,9-19,"12,03,702",7.0,16.5
1400,Sales Executive,state-bank-of-india,0-14,"4,58,300",2.1,6.7
1401,Quality Executive,state-bank-of-india,5-14,"6,16,528",2.4,9.4
1402,Executive Production,state-bank-of-india,4-17,"14,50,893",2.4,27.0
1403,Executive Accountant,state-bank-of-india,1-10,"3,65,523",1.2,8.9
1404,Sales Officer,state-bank-of-india,0-6,"3,55,822",1.8,5.2
1405,Deputy Manager,state-bank-of-india,1-8,"4,38,858",2.6,6.6
1406,MIS Executive,state-bank-of-india,2-13,"4,47,043",1.8,6.5
1407,Production Associate,state-bank-of-india,3-12,"4,43,692",1.5,6.0
1408,Deputy Manager,state-bank-of-india,5-17,"10,28,324",4.9,14.0
1409,Software Engineer,state-bank-of-india,2-12,"3,41,941",1.1,5.3
1410,Team Lead,bajaj-auto,8-17,"7,39,094",2.3,11.0
1411,Maintenance Engineer,bajaj-auto,8-20,"26,13,831",14.9,32.4
1412,Maintenance Associate,bajaj-auto,1-7,"9,51,562",4.2,18.5
1413,Financial Analyst,bajaj-auto,9-18,"9,81,517",4.5,23.0
1414,Team Member,bajaj-auto,8-14,"8,78,301",5.5,11.5
1415,Senior Associate,bajaj-auto,8-18,"9,04,982",6.0,11.0
1416,Senior Engineer,bajaj-auto,1-9,"8,39,760",,
1417,Officer,bajaj-auto,0-10,"3,23,544",,
1418,Junior Officer,bajaj-auto,3-11,"9,64,794",3.6,16.0
1419,Chemist,bajaj-auto,8-17,"15,94,761",7.4,22.5
1420,Senior Chemist,cholamandalam-investment-&-finance,0-6,"3,00,410",1.2,5.0
1421,Junior Engineer,cholamandalam-investment-&-finance,0-4,"2,61,078",1.0,3.9
1422,Junior Chemist,cholamandalam-investment-&-finance,0-6,"3,00,189",1.1,4.5
1423,Deputy Manager,cholamandalam-investment-&-finance,2-7,"3,43,831",2.0,4.9
1424,Research Associate,cholamandalam-investment-&-finance,0-3,"2,95,530",1.4,3.9
1425,Junior Executive,cholamandalam-investment-&-finance,0-3,"2,61,459",1.3,3.8
1426,QC Chemist,cholamandalam-investment-&-finance,10-16,"10,19,041",5.0,14.1
1427,Claims Associate,cholamandalam-investment-&-finance,0-5,"3,40,539",2.0,5.6
1428,Senior Software Engineer,cholamandalam-investment-&-finance,2-7,"3,97,884",2.0,6.2
1429,Software Engineer,cholamandalam-investment-&-finance,0-5,"2,89,039",1.5,4.4
1430,Senior Claims Associate,swiggy,0-7,"3,11,537",1.6,5.1
1431,Software Developer,swiggy,3-12,"18,17,738",4.2,29.3
1432,Data Analyst,swiggy,0-8,"11,59,947",3.1,25.0
1433,Quality Analyst,swiggy,3-8,"4,03,287",2.0,5.7
1434,Process Associate,swiggy,2-8,"8,80,867",3.0,18.2
1435,Appeals Analyst,swiggy,2-9,"12,35,947",2.3,29.0
1436,Softwaretest Engineer,swiggy,3-10,"5,42,431",2.1,10.2
1437,Facility Manager,swiggy,1-5,"2,95,820",1.4,4.0
1438,Facility Executive,swiggy,1-5,"3,10,813",1.4,4.6
1439,Assistant Facility Manager,swiggy,2-5,"5,24,900",2.6,9.6
1440,Junior Engineer,equitas-small-finance-bank,7-17,"7,38,668",3.5,12.7
1441,Shift Engineer,equitas-small-finance-bank,4-12,"3,53,796",1.8,4.6
1442,Supervisor,equitas-small-finance-bank,7-16,"5,39,353",2.7,8.1
1443,Technical Supervisor,equitas-small-finance-bank,0-6,"2,36,266",1.2,3.3
1444,Front Office Executive,equitas-small-finance-bank,4-9,"3,69,364",2.0,6.0
1445,Hospital Manager,equitas-small-finance-bank,1-9,"2,47,786",,
1446,Housekeeping Supervisor,equitas-small-finance-bank,0-9,"3,11,939",1.6,4.1
1447,Processing Executive,equitas-small-finance-bank,1-7,"2,88,857",1.4,4.0
1448,Branch Relationship Executive,equitas-small-finance-bank,5-15,"5,76,259",3.6,9.0
1449,Sales Executive,equitas-small-finance-bank,3-10,"2,62,366",,
1450,Team Lead,viatris,0-5,"2,93,848",2.2,3.8
1451,Relationship Executive,viatris,0-5,"2,16,173",1.0,4.8
1452,MIS Executive,viatris,0-7,"2,30,381",1.0,11.1
1453,Talent Advisor,viatris,2-10,"5,49,951",1.5,12.1
1454,Senior Software Engineer,viatris,0-5,"2,38,723",1.2,5.1
1455,Information Technology Recruiter,viatris,1-7,"2,68,640",1.2,5.1
1456,Software Engineer,viatris,2-8,"7,42,729",3.6,12.1
1457,Senior Analyst,viatris,3-8,"13,90,136",5.3,26.0
1458,Assistant Vice President,viatris,0-5,"3,96,208",2.4,7.1
1459,Analyst,viatris,1-5,"5,28,250",2.5,11.5
1460,Financial Analyst,samvardhana-motherson-group,0-13,"8,53,408",2.3,21.0
1461,Process Supervisor,samvardhana-motherson-group,7-20,"31,24,702",9.0,46.0
1462,Associate Vice President,samvardhana-motherson-group,0-9,"5,90,787",1.8,14.7
1463,Team Manager,samvardhana-motherson-group,0-7,"4,95,200",1.5,11.1
1464,Sales Manager,samvardhana-motherson-group,4-11,"7,13,303",3.0,11.0
1465,AVP,samvardhana-motherson-group,9-17,"32,36,241",12.5,45.0
1466,Senior Financial Analyst,samvardhana-motherson-group,7-15,"12,58,963",6.0,22.0
1467,Territory Business Manager,samvardhana-motherson-group,0-9,"5,96,091",2.8,8.5
1468,Therapy Business Manager,samvardhana-motherson-group,9-18,"33,08,785",12.5,52.0
1469,Key Account Manager,samvardhana-motherson-group,3-8,"8,49,376",3.1,18.0
1470,Area Business Manager,kec-international,0-13,"5,07,879",2.0,9.5
1471,Medical Representative,kec-international,1-13,"5,91,615",2.7,8.8
1472,Territory Sales Manager,kec-international,4-15,"6,94,578",3.0,12.5
1473,Territory Manager,kec-international,10-20,"10,62,658",4.0,20.0
1474,Sales Executive,kec-international,0-10,"4,06,679",1.5,7.2
1475,Area Sales Manager,kec-international,3-13,"7,69,091",1.8,14.0
1476,Zonal Business Manager,kec-international,3-14,"6,10,061",3.0,9.6
1477,Officer,kec-international,0-9,"3,70,147",1.5,7.0
1478,Senior Officer,kec-international,12-20,"14,88,626",5.0,24.0
1479,Junior Officer,kec-international,13-24,"19,77,745",8.7,27.1
1480,Research Associate,nagarjuna-construction-company,1-8,"3,79,828",2.0,5.6
1481,Production Officer,nagarjuna-construction-company,3-11,"5,43,081",2.8,8.7
1482,Junior Research Associate,nagarjuna-construction-company,1-4,"2,88,233",1.6,4.0
1483,Senior Research Associate,nagarjuna-construction-company,1-8,"4,07,132",2.1,6.2
1484,Technical Associate,nagarjuna-construction-company,1-7,"3,59,059",1.9,6.3
1485,Senior Production Officer,nagarjuna-construction-company,1-3,"3,27,758",1.9,4.2
1486,QC Officer,nagarjuna-construction-company,4-10,"5,63,992",3.0,8.0
1487,Assistant Engineer,nagarjuna-construction-company,0-7,"2,64,103",1.5,4.3
1488,Diploma Trainee Engineer,nagarjuna-construction-company,5-10,"5,78,188",3.4,7.2
1489,Deputy Engineer,nagarjuna-construction-company,2-6,"3,42,057",2.0,5.0
1490,Production Engineer,ekart-logistics,1-8,"2,41,145",1.3,3.6
1491,Assistant Engineer Production,ekart-logistics,0-4,"1,88,256",1.1,3.0
1492,DET,ekart-logistics,2-9,"2,82,470",1.7,4.5
1493,DAT,ekart-logistics,0-11,"2,98,671",1.2,5.3
1494,Senior Engineer,ekart-logistics,2-6,"2,25,494",1.2,3.2
1495,Diploma Apprentice Trainee,ekart-logistics,0-3,"1,90,940",1.2,3.0
1496,AE,ekart-logistics,0-1,"1,52,390",1.0,3.0
1497,Junior Manager,ekart-logistics,3-12,"5,80,192",3.6,8.1
1498,Deputy Manager,ekart-logistics,0-2,"1,58,436",1.0,3.0
1499,Service Engineer,ekart-logistics,1-4,"2,22,566",1.7,3.2
1500,Design Engineer,sbi-life-insurance-company,0-11,"4,82,720",2.0,8.0
1501,Channel Sales Manager,sbi-life-insurance-company,0-17,"10,95,900",5.0,16.5
1502,DPT.Manager,sbi-life-insurance-company,1-10,"3,98,405",2.1,6.2
1503,Quality Engineer,sbi-life-insurance-company,0-5,"3,71,030",1.3,7.2
1504,Quality Inspector,sbi-life-insurance-company,0-10,"10,31,546",3.8,17.8
1505,Channel Service Manager,sbi-life-insurance-company,2-14,"9,63,387",5.8,15.6
1506,Senior Engineer,sbi-life-insurance-company,1-6,"2,30,870",1.1,3.5
1507,Business Analyst,sbi-life-insurance-company,1-5,"1,87,226",,
1508,Business Development Executive,sbi-life-insurance-company,3-8,"6,89,220",2.0,12.1
1509,Lead Analyst,sbi-life-insurance-company,2-9,"3,98,303",2.2,5.8
1510,Senior Analyst,aditya-birla-fashion-and-retail,0-8,"6,96,613",2.0,24.4
1511,Analyst,aditya-birla-fashion-and-retail,0-8,"3,41,951",,
1512,Financial Analyst,aditya-birla-fashion-and-retail,1-11,"8,11,784",3.0,12.5
1513,Relationship Manager,aditya-birla-fashion-and-retail,2-7,"10,73,122",3.0,28.0
1514,Senior Lead Analyst,aditya-birla-fashion-and-retail,1-8,"12,36,270",1.8,32.0
1515,Processing Manager,aditya-birla-fashion-and-retail,0-6,"7,59,935",2.0,21.0
1516,Assistant Relationship Manager,aditya-birla-fashion-and-retail,2-8,"7,12,405",2.6,11.0
1517,Deputy Manager,aditya-birla-fashion-and-retail,3-10,"8,57,495",3.5,13.0
1518,Sales Executive,aditya-birla-fashion-and-retail,3-10,"17,34,313",5.0,25.2
1519,Senior Engineer,aditya-birla-fashion-and-retail,1-6,"5,45,910",2.0,7.5
1520,Senior Sales Executive,muthoot-fincorp,5-17,"11,62,990",5.5,18.2
1521,Rural Sales Officer,muthoot-fincorp,1-8,"3,19,400",,
1522,Assistant General Manager,muthoot-fincorp,1-11,"7,56,380",3.3,11.2
1523,Sales Manager,muthoot-fincorp,4-12,"6,28,723",2.6,9.1
1524,Production Engineer,muthoot-fincorp,2-11,"3,09,349",2.1,4.1
1525,Assistant Sales Manager,muthoot-fincorp,13-20,"27,47,322",14.5,38.0
1526,Area Sales Manager,muthoot-fincorp,8-20,"14,46,990",5.0,20.0
1527,Territory Sales Incharge,muthoot-fincorp,0-8,"3,32,934",,
1528,Business Development Executive,muthoot-fincorp,6-12,"9,04,064",4.8,12.6
1529,Area Sales Manager,muthoot-fincorp,8-16,"11,64,172",4.5,19.0
1530,Sales Officer,l&t-technology-services,1-10,"5,10,545",2.0,7.9
1531,Territory Sales Representative,l&t-technology-services,3-13,"7,33,686",2.3,11.0
1532,Senior Territory Sales Incharge,l&t-technology-services,1-13,"17,08,440",3.6,31.0
1533,Branch Manager,l&t-technology-services,2-10,"4,75,316",1.8,7.2
1534,Sales Executive,l&t-technology-services,0-6,"2,75,993",1.3,4.2
1535,Senior Sales Officer,l&t-technology-services,3-10,"6,49,362",3.3,8.5
1536,TSR,l&t-technology-services,2-17,"22,16,031",11.4,30.0
1537,Marketing Executive,l&t-technology-services,1-6,"3,21,176",1.1,7.0
1538,Area Business Manager,l&t-technology-services,3-12,"6,43,492",3.4,8.2
1539,Medical Representative,l&t-technology-services,0-6,"2,38,827",1.2,3.3
1540,Senior Officer,godrej-&-boyce-manufacturing,0-10,"3,79,113",1.6,5.7
1541,Officer,godrej-&-boyce-manufacturing,5-16,"6,57,446",3.0,9.0
1542,Research Associate,godrej-&-boyce-manufacturing,0-8,"3,52,352",2.0,5.8
1543,Regional Manager,godrej-&-boyce-manufacturing,1-9,"4,40,662",2.3,7.0
1544,Area Sales Manager,godrej-&-boyce-manufacturing,2-6,"3,50,257",1.6,5.0
1545,Regional Sales Manager,godrej-&-boyce-manufacturing,1-7,"4,32,106",2.4,7.0
1546,Production Officer,godrej-&-boyce-manufacturing,8-15,"9,08,770",2.5,14.8
1547,Sergeant,godrej-&-boyce-manufacturing,6-15,"6,54,673",3.5,10.1
1548,Junior Warrant Officer,godrej-&-boyce-manufacturing,10-17,"10,12,048",6.0,13.3
1549,Senior NON Commissioned Officer,godrej-&-boyce-manufacturing,0-5,"2,92,035",1.6,4.2
1550,Wing Commander,optum,16-23,"7,47,671",,
1551,Warrant Officer,optum,19-31,"9,93,556",,
1552,Honorary Flying Officer,optum,18-22,"9,28,374",,
1553,Airman,optum,13-23,"32,36,205",12.0,45.0
1554,Defence,optum,30-32,"10,20,323",,
1555,Master Warrant Officer,optum,31,"13,37,338",1.0,20.0
1556,Group Captain,optum,10-22,"8,09,094",2.6,13.0
1557,Sales Team Leader,optum,16-20,"8,64,283",2.4,20.0
1558,Sales Executive,optum,31-32,"12,18,375",3.5,18.0
1559,Team Lead,optum,27-32,"37,82,904",2.0,65.0
1560,Market Growth Representative,royal-enfield,3-17,"9,24,269",3.5,14.0
1561,Executive Production,royal-enfield,2-13,"4,48,233",,
1562,Area Sales Manager,royal-enfield,6-16,"10,42,376",5.0,15.1
1563,QA Executive,royal-enfield,1-7,"2,79,537",1.1,4.5
1564,Quality Executive,royal-enfield,1-8,"4,98,038",3.0,8.7
1565,Executive Quality Assurance,royal-enfield,11-20,"16,82,162",4.8,28.9
1566,Market Developer,royal-enfield,2-11,"5,86,528",2.7,8.5
1567,Junior Executive,royal-enfield,0-10,"4,95,106",2.2,7.7
1568,Medical Representative,royal-enfield,1-7,"5,08,926",3.0,8.8
1569,Executive Production,royal-enfield,1-7,"2,60,195",1.0,4.0
1570,Research Associate,tata-communications,0-8,"3,46,858",1.5,6.6
1571,Research Scientist,tata-communications,0-6,"3,53,526",1.5,5.0
1572,Area Sales Manager,tata-communications,0-9,"4,72,810",2.0,8.4
1573,Deputy Manager,tata-communications,0-7,"4,05,965",1.7,7.1
1574,Area Manager,tata-communications,4-10,"7,17,751",4.3,10.9
1575,Senior Research Scientist,tata-communications,4-13,"6,12,866",4.0,8.8
1576,Regional Sales Manager,tata-communications,11-18,"15,54,371",8.6,19.0
1577,Project Engineer,tata-communications,5-13,"6,51,195",4.0,8.4
1578,Deputy Engineer,tata-communications,8-13,"10,88,862",6.5,14.5
1579,Engineer Trainee,tata-communications,9-20,"9,89,429",6.3,12.0
1580,Contract Engineer,lg-electronics,0-8,"5,36,644",2.4,7.3
1581,Graduate Apprentice Trainee,lg-electronics,1-8,"11,89,220",4.4,15.0
1582,Trainee,lg-electronics,0-4,"4,04,116",,
1583,Senior Engineer,lg-electronics,1-5,"3,21,933",1.8,4.5
1584,Deputy Manager,lg-electronics,0-2,"1,68,284",,
1585,Gapp Trainee,lg-electronics,0-2,"2,01,493",,
1586,Associate Consultant,lg-electronics,0-2,"1,80,320",,
1587,Software Engineer,lg-electronics,4-8,"14,65,530",8.1,20.0
1588,Senior Consultant,lg-electronics,8-13,"18,89,542",9.0,25.0
1589,System Engineer,lg-electronics,0-1,"1,77,126",,
1590,System Analyst,piramal-capital-housing-finance,0-10,"7,23,964",2.0,19.0
1591,Software Developer,piramal-capital-housing-finance,1-7,"6,10,359",2.5,12.0
1592,Associate Engineer,piramal-capital-housing-finance,7-20,"20,13,624",7.0,32.5
1593,Softwaretest Engineer,piramal-capital-housing-finance,0-3,"4,24,874",2.0,6.0
1594,Technical Lead,piramal-capital-housing-finance,2-12,"7,97,527",3.2,16.5
1595,Senior Associate,piramal-capital-housing-finance,1-5,"5,57,256",2.5,11.7
1596,Relationship Officer,piramal-capital-housing-finance,1-4,"5,07,315",1.8,10.0
1597,Sales Executive,piramal-capital-housing-finance,1-4,"4,53,031",3.0,9.7
1598,Relationship Executive,piramal-capital-housing-finance,8-15,"14,82,416",7.8,22.0
1599,Cluster Manager,piramal-capital-housing-finance,1-7,"3,97,771",2.0,7.0
1600,Team Lead,john-deere,0-6,"2,14,365",,
1601,Business Executive,john-deere,0-6,"2,18,375",,
1602,Operations Executive,john-deere,0-4,"1,89,446",,
1603,Sales Officer,john-deere,0-10,"3,73,577",2.4,5.7
1604,Equity Advisor,john-deere,2-11,"3,66,517",1.5,6.1
1605,Senior Relationship Officer,john-deere,1-7,"1,85,524",,
1606,Sales Executive,john-deere,1-6,"2,39,815",,
1607,Team Lead,john-deere,0-5,"2,22,229",1.1,4.4
1608,Sales Officer,john-deere,0-11,"4,27,790",2.1,5.7
1609,HR Executive,john-deere,3-8,"2,72,959",1.0,6.0
1610,Network Engineer,l&t-finance,0-8,"2,62,108",,
1611,Recruitment Specialist,l&t-finance,0-10,"3,65,016",1.7,8.0
1612,Career Consultant,l&t-finance,0-6,"2,56,109",1.1,5.0
1613,MIS Executive,l&t-finance,1-5,"3,60,825",1.5,6.0
1614,Payroll Executive,l&t-finance,2-8,"3,91,238",1.4,7.0
